date,code,open,close,amount
2022-07-29,sh.603161,11.2600,12.5400,1488301304.6900
2022-07-29,sh.603165,14.6000,14.3100,1268233450.7400
2022-07-29,sh.603166,7.4000,7.6800,1695099904.3900
2022-07-29,sh.603167,7.3200,7.1100,477520931.7500
2022-07-29,sh.603168,8.4300,8.3300,547486558.1800
2022-07-29,sh.603169,6.6400,7.3800,5457952173.9900
2022-07-29,sh.603170,12.0600,30.7400,1431391667.5300
2022-07-29,sh.603171,28.1000,29.1200,732668352.2300
2022-07-29,sh.603176,9.5600,8.1500,1010462452.5600
2022-07-29,sh.603177,15.1700,14.9600,1118616038.4300
2022-07-29,sh.603178,12.6200,14.5100,1708011569.4600
2022-07-29,sh.603179,28.9500,37.8600,4343847150.2600
2022-07-29,sh.603180,30.6800,25.5600,566905715.4200
2022-07-29,sh.603181,15.0900,16.1000,1450815704.0500
2022-07-29,sh.603183,5.0800,4.9400,973669554.8800
2022-07-29,sh.603185,160.1000,163.4600,42276253291.6600
2022-07-29,sh.603186,26.0800,25.1900,2030238828.1900
2022-07-29,sh.603187,36.5500,32.3200,1458003270.2300
2022-07-29,sh.603188,4.2100,4.2800,436967874.2600
2022-07-29,sh.603189,13.3400,13.6800,587531151.4500
2022-07-29,sh.603191,22.9300,28.6200,11327313638.4700
2022-07-29,sh.603192,25.3200,26.3600,1499217856.1200
2022-07-29,sh.603195,153.9000,146.4700,1487067001.0200
2022-07-29,sh.603196,6.4600,6.8500,342570808.4600
2022-07-29,sh.603197,49.6300,69.4300,7928125897.7500
2022-07-29,sh.603198,66.4000,54.5300,8351832927.0100
2022-07-29,sh.603199,28.1400,22.8300,1817534371.9900
2022-07-29,sh.603200,14.2800,19.2600,1692862549.8900
2022-07-29,sh.603201,36.6700,44.0100,36863886.1100
2022-07-29,sh.603203,25.5800,25.8600,467271528.5000
2022-07-29,sh.603206,19.3500,18.6700,1802378073.5800
2022-07-29,sh.603208,72.0400,40.8000,1788330446.5100
2022-07-29,sh.603209,22.6300,29.0100,2118660414.2200
2022-07-29,sh.603211,7.8600,13.8100,37580721.0000
2022-07-29,sh.603212,26.6300,24.9500,5144850921.3900
2022-07-29,sh.603213,14.9200,15.1500,1050181099.3200
2022-07-29,sh.603214,17.6200,17.6800,1292757360.9500
2022-07-29,sh.603215,20.6000,17.5600,2143335716.8900
2022-07-29,sh.603216,16.1300,15.5400,479306820.4200
2022-07-29,sh.603217,29.5600,37.3800,3579668149.5700
2022-07-29,sh.603218,25.4800,25.0700,10935338431.5500
